md5_hash,copies_count,file_paths,folders,filename_code_labels,evidence_based_labels_list,strict_5class_qualified,strict_5class_label,majority_5class_qualified,majority_5class_label,majority_resolved_by_voting,strict_binary_qualified,strict_binary_label,majority_binary_qualified,majority_binary_label,group_status
039427445d02262f54f2c25513c35833,5,raw_data\Baby Crying Sounds\silence\silence.wav_69.wav; raw_data\Dataset\not_cry\286n.wav; raw_data_2\Baby Crying Sounds\silence\silence.wav_69.wav; raw_data_2\cry\silence\silence.wav_69.wav; raw_data_2\Dataset\not_cry\286n.wav,silence; not_cry,None,Exclude,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,exclude
03e86bcecda7cac72c47e27e17726a5e,11,raw_data\BABY CRY\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav; raw_data\Baby Crying Sounds\tired\353c.wav; raw_data\Baby Crying Sounds\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav; raw_data\Dataset\cry\353c.wav; raw_data\donateacry_corpus\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav; raw_data_2\Baby Crying Sounds\tired\353c.wav; raw_data_2\Baby Crying Sounds\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav; raw_data_2\cry\tired\353c.wav; raw_data_2\cry\tired\C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav; raw_data_2\Dataset\cry\353c.wav; raw_data_2\tired\14tired.wav,tired; cry,None; Tired,Unknown; Tired,no,Excluded/Unknown,yes,Tired,no,no,Excluded/Unknown,yes,Not Hungry,no_conflict
040f0b09ff820c9fc5df7c0bc85c0848,12,raw_data\BABY CRY\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav; raw_data\Baby Crying Sounds\belly pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav; raw_data\Baby Crying Sounds\discomfort\201c.wav; raw_data\Dataset\cry\201c.wav; raw_data\donateacry_corpus\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav; raw_data_2\Baby Crying Sounds\belly pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav; raw_data_2\Baby Crying Sounds\discomfort\201c.wav; raw_data_2\belly_pain\3belly_pain.wav; raw_data_2\cry\belly pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp (2).wav; raw_data_2\cry\belly pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav; raw_data_2\cry\discomfort\201c.wav; raw_data_2\Dataset\cry\201c.wav,cry; discomfort; belly pain; belly_pain,Belly Pain; None,Unknown; Belly Pain; Discomfort,no,Excluded/Unknown,yes,Belly Pain,yes,no,Excluded/Unknown,yes,Not Hungry,resolved_by_filename_priority
04ba994d4afcc420c15ebf4b006f6354,5,raw_data\Baby Crying Sounds\silence\silence.wav_26.wav; raw_data\Dataset\not_cry\243n.wav; raw_data_2\Baby Crying Sounds\silence\silence.wav_26.wav; raw_data_2\cry\silence\silence.wav_26.wav; raw_data_2\Dataset\not_cry\243n.wav,silence; not_cry,None,Exclude,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,exclude
052bc80fb37accd12e3ae8c2f87915f7,12,raw_data\BABY CRY\belly_pain\454c.wav; raw_data\BABY CRY\hungry\aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1437166513710-1.7-f-04-hu.wav; raw_data\Baby Crying Sounds\belly pain\454c.wav; raw_data\Baby Crying Sounds\hungry\aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1437166513710-1.7-f-04-hu.wav; raw_data\Dataset\cry\454c.wav; raw_data\donateacry_corpus\hungry\aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1437166513710-1.7-f-04-hu.wav; raw_data_2\Baby Crying Sounds\belly pain\454c.wav; raw_data_2\Baby Crying Sounds\hungry\aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1437166513710-1.7-f-04-hu.wav; raw_data_2\cry\belly pain\454c.wav; raw_data_2\cry\hungry\aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1437166513710-1.7-f-04-hu.wav; raw_data_2\Dataset\cry\454c.wav; raw_data_2\hungry\hungry1 (254).wav,cry; hungry; belly pain; belly_pain,None; Hungry,Unknown; Belly Pain; Hungry,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
054a2cb61c63fd54eaa428f2ac9a00aa,12,raw_data\BABY CRY\hungry\7E4B9C14-F955-4BED-9B03-7F3096A6CBFF-1430232157-1.0-f-26-hu.wav; raw_data\BABY CRY\tired\255c.wav; raw_data\Baby Crying Sounds\hungry\7E4B9C14-F955-4BED-9B03-7F3096A6CBFF-1430232157-1.0-f-26-hu.wav; raw_data\Baby Crying Sounds\tired\255c.wav; raw_data\Dataset\cry\255c.wav; raw_data\donateacry_corpus\hungry\7E4B9C14-F955-4BED-9B03-7F3096A6CBFF-1430232157-1.0-f-26-hu.wav; raw_data_2\Baby Crying Sounds\hungry\7E4B9C14-F955-4BED-9B03-7F3096A6CBFF-1430232157-1.0-f-26-hu.wav; raw_data_2\Baby Crying Sounds\tired\255c.wav; raw_data_2\cry\hungry\7E4B9C14-F955-4BED-9B03-7F3096A6CBFF-1430232157-1.0-f-26-hu.wav; raw_data_2\cry\tired\255c.wav; raw_data_2\Dataset\cry\255c.wav; raw_data_2\hungry\hungry1 (61).wav,hungry; tired; cry,None; Hungry,Unknown; Hungry; Tired,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
056f6125c5a1215527d2e4947d166a01,2,raw_data\BABY CRY\lonely\0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185476161-1.7-f-26-lo.wav; raw_data_2\cry\lonely\0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185476161-1.7-f-26-lo.wav,lonely,Lonely,Lonely,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,unknown
05a54331a8cf6e30595610715ad13456,11,raw_data\BABY CRY\hungry\d1e236a0-e030-4137-9030-5625026cd098-1430477960643-1.2-m-04-hu.wav; raw_data\Baby Crying Sounds\burping\495c.wav; raw_data\Baby Crying Sounds\hungry\d1e236a0-e030-4137-9030-5625026cd098-1430477960643-1.2-m-04-hu.wav; raw_data\Dataset\cry\495c.wav; raw_data\donateacry_corpus\hungry\d1e236a0-e030-4137-9030-5625026cd098-1430477960643-1.2-m-04-hu.wav; raw_data_2\Baby Crying Sounds\burping\495c.wav; raw_data_2\Baby Crying Sounds\hungry\d1e236a0-e030-4137-9030-5625026cd098-1430477960643-1.2-m-04-hu.wav; raw_data_2\cry\burping\495c.wav; raw_data_2\cry\hungry\d1e236a0-e030-4137-9030-5625026cd098-1430477960643-1.2-m-04-hu.wav; raw_data_2\Dataset\cry\495c.wav; raw_data_2\hungry\hungry1 (305).wav,burping; hungry; cry,None; Hungry,Burping; Unknown; Hungry,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
05e99d404079cf356233d4d9786af484,5,raw_data\Baby Crying Sounds\noise\4-187769-B.ogg; raw_data\Dataset\not_cry\85n.ogg; raw_data_2\Baby Crying Sounds\noise\4-187769-B.ogg; raw_data_2\cry\noise\4-187769-B.ogg; raw_data_2\Dataset\not_cry\85n.ogg,noise; not_cry,None,Exclude,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,exclude
0602cf34594aee85dd4e25a10db07d66,5,raw_data\Baby Crying Sounds\silence\silence.wav_38.wav; raw_data\Dataset\not_cry\255n.wav; raw_data_2\Baby Crying Sounds\silence\silence.wav_38.wav; raw_data_2\cry\silence\silence.wav_38.wav; raw_data_2\Dataset\not_cry\255n.wav,silence; not_cry,None,Exclude,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,exclude
0654fd64ee6165456b79ced421ffbf46,1,raw_data\BABY CRY\belly_pain\549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav,belly_pain,Belly Pain,Belly Pain,yes,Belly Pain,yes,Belly Pain,no,yes,Not Hungry,yes,Not Hungry,no_conflict
06d249058aa75bfe1b75473b094afa91,4,raw_data\BABY CRY\discomfort\dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav; raw_data\BABY CRY\lonely\dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav; raw_data_2\cry\discomfort\dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav; raw_data_2\cry\lonely\dc5429de-26b4-48e2-bc47-bc607b9bba06-1430741903654-1.7-f-72-lo.wav,discomfort; lonely,Lonely,Lonely,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,unknown
073f28b037daddd249e9ecc693494178,11,raw_data\BABY CRY\hungry\3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651049104-1.7-m-72-hu.wav; raw_data\Baby Crying Sounds\discomfort\129c.wav; raw_data\Baby Crying Sounds\hungry\3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651049104-1.7-m-72-hu.wav; raw_data\Dataset\cry\129c.wav; raw_data\donateacry_corpus\hungry\3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651049104-1.7-m-72-hu.wav; raw_data_2\Baby Crying Sounds\discomfort\129c.wav; raw_data_2\Baby Crying Sounds\hungry\3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651049104-1.7-m-72-hu.wav; raw_data_2\cry\discomfort\129c.wav; raw_data_2\cry\hungry\3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651049104-1.7-m-72-hu.wav; raw_data_2\Dataset\cry\129c.wav; raw_data_2\hungry\hungry1 (24).wav,discomfort; hungry; cry,None; Hungry,Unknown; Hungry; Discomfort,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
075e04163304493d9d78c0ee9abaa336,11,raw_data\BABY CRY\hungry\9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927728-1.0-f-04-hu.wav; raw_data\Baby Crying Sounds\hungry\9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927728-1.0-f-04-hu.wav; raw_data\Baby Crying Sounds\tired\323c.wav; raw_data\Dataset\cry\323c.wav; raw_data\donateacry_corpus\hungry\9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927728-1.0-f-04-hu.wav; raw_data_2\Baby Crying Sounds\hungry\9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927728-1.0-f-04-hu.wav; raw_data_2\Baby Crying Sounds\tired\323c.wav; raw_data_2\cry\hungry\9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927728-1.0-f-04-hu.wav; raw_data_2\cry\tired\323c.wav; raw_data_2\Dataset\cry\323c.wav; raw_data_2\hungry\hungry1 (93).wav,hungry; tired; cry,None; Hungry,Unknown; Hungry; Tired,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
077907e225e88382e864b642a64883cc,5,raw_data\Baby Crying Sounds\silence\silence.wav_5.wav; raw_data\Dataset\not_cry\222n.wav; raw_data_2\Baby Crying Sounds\silence\silence.wav_5.wav; raw_data_2\cry\silence\silence.wav_5.wav; raw_data_2\Dataset\not_cry\222n.wav,silence; not_cry,None,Exclude,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,exclude
07b9c9f3ae74321dee311caa9eb10676,2,raw_data\Dataset\cry\167c.ogg; raw_data_2\Dataset\cry\167c.ogg,cry,None,Unknown,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,unknown
088d0f4dce22dd2584f5bb9157427303,5,raw_data\Baby Crying Sounds\silence\silence.wav_106.wav; raw_data\Dataset\not_cry\323n.wav; raw_data_2\Baby Crying Sounds\silence\silence.wav_106.wav; raw_data_2\cry\silence\silence.wav_106.wav; raw_data_2\Dataset\not_cry\323n.wav,silence; not_cry,None,Exclude,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,exclude
08e93de321654946c6bf2bec3c37446b,2,raw_data\BABY CRY\scared\d6cda191-4962-4308-9a36-46d5648a95ed-1431700367302-1.7-m-04-sc.wav; raw_data_2\cry\scared\d6cda191-4962-4308-9a36-46d5648a95ed-1431700367302-1.7-m-04-sc.wav,scared,None,Unknown,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,unknown
093d1d545a26d5891eac6f5325e9f9b2,6,raw_data\BABY CRY\belly_pain\408c.wav; raw_data\Baby Crying Sounds\belly pain\408c.wav; raw_data\Dataset\cry\408c.wav; raw_data_2\Baby Crying Sounds\belly pain\408c.wav; raw_data_2\cry\belly pain\408c.wav; raw_data_2\Dataset\cry\408c.wav,cry; belly pain; belly_pain,None,Unknown; Belly Pain,no,Excluded/Unknown,yes,Belly Pain,no,no,Excluded/Unknown,yes,Not Hungry,no_conflict
094a9285baa3d367ebc4b27570b6603f,2,raw_data\BABY CRY\burping\generated2_af30880e-5f98-4dc0-b37a-be6b21fa0ba3-1431240072536-1.7-m-26-bu.wav; raw_data_2\cry\burping\generated2_af30880e-5f98-4dc0-b37a-be6b21fa0ba3-1431240072536-1.7-m-26-bu.wav,burping,Burping,Burping,yes,Burping,yes,Burping,no,yes,Not Hungry,yes,Not Hungry,no_conflict
097a0de625f19cb4fae7e94a4b25f26c,5,raw_data\Baby Crying Sounds\burping\552c.wav; raw_data\Dataset\cry\552c.wav; raw_data_2\Baby Crying Sounds\burping\552c.wav; raw_data_2\cry\burping\552c.wav; raw_data_2\Dataset\cry\552c.wav,burping; cry,None,Burping; Unknown,no,Excluded/Unknown,yes,Burping,no,no,Excluded/Unknown,yes,Not Hungry,no_conflict
09f2bbae1c0f776389d6bb3f79872ba0,12,raw_data\BABY CRY\cold_hot\41c.wav; raw_data\BABY CRY\hungry\1259bcad-2308-46fa-9a36-b5d8f359886a-1430143617162-1.7-m-04-hu.wav; raw_data\Baby Crying Sounds\cold_hot\41c.wav; raw_data\Baby Crying Sounds\hungry\1259bcad-2308-46fa-9a36-b5d8f359886a-1430143617162-1.7-m-04-hu.wav; raw_data\Dataset\cry\41c.wav; raw_data\donateacry_corpus\hungry\1259bcad-2308-46fa-9a36-b5d8f359886a-1430143617162-1.7-m-04-hu.wav; raw_data_2\Baby Crying Sounds\cold_hot\41c.wav; raw_data_2\Baby Crying Sounds\hungry\1259bcad-2308-46fa-9a36-b5d8f359886a-1430143617162-1.7-m-04-hu.wav; raw_data_2\cry\cold_hot\41c.wav; raw_data_2\cry\hungry\1259bcad-2308-46fa-9a36-b5d8f359886a-1430143617162-1.7-m-04-hu.wav; raw_data_2\Dataset\cry\41c.wav; raw_data_2\hungry\hungry1 (197).wav,hungry; cold_hot; cry,None; Hungry,Unknown; Hungry; Discomfort,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
0a6010f54f66d6814f9071293b7ac560,5,raw_data\Baby Crying Sounds\silence\silence.wav_81.wav; raw_data\Dataset\not_cry\298n.wav; raw_data_2\Baby Crying Sounds\silence\silence.wav_81.wav; raw_data_2\cry\silence\silence.wav_81.wav; raw_data_2\Dataset\not_cry\298n.wav,silence; not_cry,None,Exclude,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,exclude
0a655e593a0cab3f70eb275b9e9f686e,12,raw_data\BABY CRY\belly_pain\396c.wav; raw_data\BABY CRY\hungry\FF2CD2F6-404D-4626-8718-6E6C751F63B8-1431104337-1.0-m-04-hu.wav; raw_data\Baby Crying Sounds\belly pain\396c.wav; raw_data\Baby Crying Sounds\hungry\FF2CD2F6-404D-4626-8718-6E6C751F63B8-1431104337-1.0-m-04-hu.wav; raw_data\Dataset\cry\396c.wav; raw_data\donateacry_corpus\hungry\FF2CD2F6-404D-4626-8718-6E6C751F63B8-1431104337-1.0-m-04-hu.wav; raw_data_2\Baby Crying Sounds\belly pain\396c.wav; raw_data_2\Baby Crying Sounds\hungry\FF2CD2F6-404D-4626-8718-6E6C751F63B8-1431104337-1.0-m-04-hu.wav; raw_data_2\cry\belly pain\396c.wav; raw_data_2\cry\hungry\FF2CD2F6-404D-4626-8718-6E6C751F63B8-1431104337-1.0-m-04-hu.wav; raw_data_2\Dataset\cry\396c.wav; raw_data_2\hungry\hungry1 (370).wav,cry; hungry; belly pain; belly_pain,None; Hungry,Unknown; Belly Pain; Hungry,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
0a662d98a0271813980420473e4c5cce,11,raw_data\BABY CRY\hungry\3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651019625-1.7-m-04-hu.wav; raw_data\Baby Crying Sounds\discomfort\128c.wav; raw_data\Baby Crying Sounds\hungry\3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651019625-1.7-m-04-hu.wav; raw_data\Dataset\cry\128c.wav; raw_data\donateacry_corpus\hungry\3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651019625-1.7-m-04-hu.wav; raw_data_2\Baby Crying Sounds\discomfort\128c.wav; raw_data_2\Baby Crying Sounds\hungry\3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651019625-1.7-m-04-hu.wav; raw_data_2\cry\discomfort\128c.wav; raw_data_2\cry\hungry\3c51dedc-6e4c-47dd-a179-86a25e95f1ef-1430651019625-1.7-m-04-hu.wav; raw_data_2\Dataset\cry\128c.wav; raw_data_2\hungry\hungry1 (23).wav,discomfort; hungry; cry,None; Hungry,Unknown; Hungry; Discomfort,no,Excluded/Unknown,yes,Hungry,yes,no,Excluded/Unknown,yes,Hungry,resolved_by_filename_priority
0aa3dff7663d83d4255cb0ad617d9ef9,2,raw_data\Dataset\cry\95c.ogg; raw_data_2\Dataset\cry\95c.ogg,cry,None,Unknown,no,Excluded/Unknown,no,Excluded/Unknown,no,no,Excluded/Unknown,no,Excluded/Unknown,unknown
